name,PLN_AREA_N,category,lat,lng
NEWest,CLEMENTI,health,1.3164853,103.7573965
Astute Medical Clinic,OUTRAM,health,1.2837158000000002,103.8465822
First Aid Shop,KALLANG,hospital,1.3122204,103.8595525
Aapage office,BISHAN,hospital,1.3540998,103.8278392
DTAP Clinic @Kovan (Dr. Tan & Partners),HOUGANG,hospital,1.3618465,103.8872013
Eu Yan Sang Private Limited,GEYLANG,hospital,1.3263376,103.8927403
Northeast Medical Group (Sengkang),SENGKANG,hospital,1.3914921999999998,103.8960025
Elissa Medical Clinic,HOUGANG,hospital,1.3758021,103.8794307
Uber Aesthetic Clinic,SERANGOON,hospital,1.3651694,103.8651106
TTSH CLINICS side,NOVENA,hospital,1.320699,103.8445117
SOG - Cindy Pang Clinic for Women & Gynae Oncology,NEWTON,hospital,1.3049589,103.8351774
Vivo Enterprise Pte. Ltd.,GEYLANG,hospital,1.326544,103.875761
Perak,NOVENA,hospital,1.3255639,103.842406
Dialysis Centre,YISHUN,hospital,1.434065,103.839015
Asia Renal Care (S) Pte Ltd,BISHAN,hospital,1.3490163999999998,103.850475
Dr Z Tuina,CLEMENTI,hospital,1.316638,103.769127
Huaxia Acupuncture & Chinese Medical Centre,DOWNTOWN CORE,hospital,1.3021194,103.8640882
NUH Child Development Unit @ Keat Hong (CDU@KH),CHOA CHU KANG,hospital,1.384181,103.7451181
International Medical Clinic - Katong,MARINE PARADE,hospital,1.305095,103.904294
Snec@bedok,BEDOK,hospital,1.3251665,103.9321098
Ko & Ko Specialists Pte Ltd,TOA PAYOH,hospital,1.3419083,103.8379548
Singapore hospital,DOWNTOWN CORE,hospital,1.2777366,103.8476215
Medical Ambulatory Centre TTSH,NOVENA,hospital,1.3213362,103.846657
Mak Heart Clinic,TANGLIN,hospital,1.3077263,103.8200865
Steven's Baby & Child Clinic,TOA PAYOH,hospital,1.3419083,103.8379548
St georges clinic and surgery,KALLANG,hospital,1.3233169,103.860718
Florilia Surgery,ORCHARD,hospital,1.301654,103.838554
Econ Recreation Branch,SERANGOON,hospital,1.3529208,103.8741246
Qnett Private Limited,BEDOK,hospital,1.33251,103.902292
Geriatric Special Care Dentistry Clinic (GSDC),BISHAN,hospital,1.360743,103.844141
Vet-Aqua Life,SERANGOON,hospital,1.3833115,103.8756142
Bukit Merah Polyclinic,BUKIT MERAH,hospital,1.2837188999999998,103.8171087
Singapore Aeromedical Centre,PAYA LEBAR,hospital,1.3424154,103.8997517
EPic Asia Pte Ltd,GEYLANG,hospital,1.3224148999999998,103.8920821
Tay Medical Centre The,QUEENSTOWN,hospital,1.307145,103.795477
Former Kandang Kerbau Hospital,KALLANG,hospital,1.3086501,103.8487219
Bethesda Medical Centre,DOWNTOWN CORE,hospital,1.2946017,103.8578815
Jin On Chinese Physician Acupunturist and Physiotherapy Centre,GEYLANG,hospital,1.3175689,103.8794306
Ibulth,SELETAR,hospital,1.4116421,103.875668
Serangan Animasi,WOODLANDS,hospital,1.4448893,103.7927995
Saint-Julien Clinic for Diabetes & Endocrinology (Farrer Park Hospital),ROCHOR,hospital,1.3127619,103.8545562
Chinatown Chinese Medical Center,OUTRAM,hospital,1.2839114,103.8453499
Parkway East Hospital 24 Hours Clinic (Accident & Emergency),BEDOK,hospital,1.3149524,103.9089282
BP CC,BISHAN,hospital,1.355415,103.840098
Boey@Holland V,QUEENSTOWN,hospital,1.311202,103.7953112
Pioneer Medicare,JURONG WEST,hospital,1.3338027,103.6968615
"Endoscopy, Veins & Piles Centre",ROCHOR,hospital,1.3127619,103.8545562
Ren Ci @ Bukit Batok,BUKIT BATOK,hospital,1.355001,103.7515945
Novena Surgery Pte Ltd,NOVENA,hospital,1.3207595,103.8443605
CMY Medical Pte Ltd,BEDOK,hospital,1.3254553,103.926217
Exit fr Rail corridor~Alexandra hospital,QUEENSTOWN,hospital,1.2844331,103.801372
Admiralty Medical Centre (AdMC) Pharmacy Services,WOODLANDS,pharmacy,1.4398953,103.8006188
Sian Chay Medical Institution,GEYLANG,hospital,1.3142279,103.8883537
Martin St. Peter's Hospital,GEYLANG,hospital,1.3158667,103.8967645
NDR Medical Technology Private Limited,QUEENSTOWN,hospital,1.2973728,103.7863205
CKW HOUSE,PIONEER,hospital,1.3201609,103.6747376
Adspress Systech Pte. Ltd.,CLEMENTI,hospital,1.336864,103.7544416
Hosptal,YISHUN,hospital,1.4294437,103.8355833
Pacific Healthcare Holdings Limited,ORCHARD,hospital,1.303905,103.835576
SW Medical Centre,YISHUN,hospital,1.4325261,103.8332313
Mount Alvernia Hospital 24-Hr Clinic & Emergency,TOA PAYOH,hospital,1.3420816999999998,103.8379436
Joy Lee Breast And General Surgery Pte Ltd,TOA PAYOH,hospital,1.3421217,103.8377029
Nobel Chest & Internal Medicine Centre,TOA PAYOH,hospital,1.3419181,103.8375243
Community Hub@Sengkang,SENGKANG,hospital,1.3926040000000002,103.873258
Frontier Family Medicine Clinic,CLEMENTI,hospital,1.3142178999999998,103.765169
ZENITH MEDICAL CLINIC,PUNGGOL,hospital,1.4051522,103.897574
Ear Nose & Throat Centre L E Loh,NEWTON,hospital,1.305083,103.8353626
Scinn Medical Centre,ORCHARD,hospital,1.3032578,103.8338832
The Breast Cancer and Lymphoedema Centre,ROCHOR,hospital,1.3127619,103.8545562
Jurong Community Hospital,JURONG EAST,hospital,1.3323404,103.7467507
Zimmer Pte Ltd,QUEENSTOWN,hospital,1.3033365,103.7964955
IMH Education Hub,HOUGANG,hospital,1.3818926,103.8834196
Everhealth Medical Centre,HOUGANG,hospital,1.376676,103.890763
FB Centre,,hospital,1.261937,103.82096
Maritime Medical Centre,BUKIT MERAH,hospital,1.2765879,103.8403609
Gongshang,BUKIT MERAH,hospital,1.2641855,103.8225174
SBF Medical Suites,DOWNTOWN CORE,hospital,1.278027,103.8479839
Saw Baby & Child Clinic,HOUGANG,hospital,1.3727194,103.8855937
i.Medical,YISHUN,hospital,1.4281699,103.8361007
Raffles Executive Medical Centre,DOWNTOWN CORE,hospital,1.301349,103.85715
Singhealth Animal Hospital (Sembawang),YISHUN,hospital,1.4138541999999998,103.8269661
Singapore Cancer Society Satellite Centre @ NCCS,BUKIT MERAH,hospital,1.2794289,103.8366164
Health Centre,ORCHARD,hospital,1.3045755,103.8340344
Simei Medical Centre,TAMPINES,hospital,1.3432366000000002,103.9536521
Mao Medical Centre & Surgery,BUKIT MERAH,hospital,1.2773683,103.8319941
Vital Healthcare Pte Ltd,ANG MO KIO,hospital,1.3724476,103.8461031
Raffles Medical Northpoint City,YISHUN,hospital,1.4295657,103.8361296
NKF Integrated Renal Centre supported by The Sirivadhanabhakdi Foundation,JURONG WEST,hospital,1.3455873,103.7164583
La Salle Restaurant Pte Ltd,GEYLANG,hospital,1.3144296999999998,103.8913011
kalikovil,ROCHOR,hospital,1.3073521,103.8517005
Claudia,BUKIT MERAH,hospital,1.2818578,103.8275781
East Shore Hospital Pte Ltd,BEDOK,hospital,1.3151065,103.9089728
Baldev Singh Cardiology Clinic Pte Ltd,BEDOK,hospital,1.3151254,103.9088708
Medic Surgical & Laser Clinic,OUTRAM,hospital,1.2748632,103.8426344
Parkway Hospitals Singapore Shell Hse,SINGAPORE RIVER,hospital,1.2929004,103.8430721
Khoo Teck Puat - National University Children's Medical Institute (NUHkids),QUEENSTOWN,hospital,1.2934826,103.7829273
All saints home,HOUGANG,hospital,1.3633011,103.8842337
SAF Khatib Camp Medical Centre,YISHUN,hospital,1.4231764999999998,103.8289856
Denis Cheong Dr,NEWTON,hospital,1.3055915,103.8354837
Lam Baby & Child Clinic,NEWTON,hospital,1.3050017,103.8358139
Communication For Life Pte. Ltd.,MARINE PARADE,hospital,1.3043687,103.903388
Mount Elizabeth,KALLANG,hospital,1.3091918,103.8584076
WL&H Medical,TANGLIN,hospital,1.3077263,103.8200865
Sea Marshall Singapore,HOUGANG,hospital,1.3641651,103.8929442
HC Endoscopy & Piles Centre (Hillford),BUKIT TIMAH,hospital,1.3443698,103.7693079
University Health Service,WESTERN WATER CATCHMENT,hospital,1.3455673,103.6825955
Well Medical Clinic,PASIR RIS,hospital,1.3789457,103.9372195
Singapore Buddhist Welfare Services NKF,HOUGANG,hospital,1.352898,103.888838
One North Meditation Spaces,QUEENSTOWN,hospital,1.3033719,103.7893271
Goldzone Medical Clinic,OUTRAM,hospital,1.2788889,103.8434653
Alvernia Health Screening Centre,TOA PAYOH,hospital,1.3419083,103.8379548
Anandakumar,ORCHARD,hospital,1.303152,103.823715
Ang Peng Chye Dr,ORCHARD,hospital,1.3031601000000002,103.8237124
SingHealth Investigational Medicine Unit,BUKIT MERAH,hospital,1.2809841999999998,103.8388793
"Parkway Cancer Centre Singapore - Mount Elizabeth Medical Centre, Level 10",NEWTON,hospital,1.305605,103.835526
Neptune Healthcare Medical and Surgery,TAMPINES,hospital,1.3535108,103.9584973
Uber Aesthetic Clinic,DOWNTOWN CORE,hospital,1.290226,103.8497253
Medical House The,BUKIT MERAH,hospital,1.2851458999999998,103.82146
Pathology,NOVENA,hospital,1.3216828,103.8465611
First Medical Centre - Yishun,YISHUN,hospital,1.4333795,103.8292685
Dr tan Clinic,CENTRAL WATER CATCHMENT,hospital,1.363601,103.7924975
Dr Khoo Boo Chai,MARINE PARADE,hospital,1.3011289,103.9057684
OmniMed Healthcare,BUKIT TIMAH,hospital,1.3143003999999998,103.8025879
Clyde Lane Dr,DOWNTOWN CORE,hospital,1.2789847,103.8490758
Nant Jar Sin Tar,BEDOK,hospital,1.3179616000000005,103.9115744
Age-Link Specialist Clinic for Older Persons,ORCHARD,hospital,1.3042138,103.8345467
Heah Colorectal Endoscopy & Piles Centre,NEWTON,hospital,1.3058901000000005,103.8362512
"Tan Yong Seng Heart, Lung & Vascular Surgery Pte. Ltd.",NEWTON,hospital,1.3055915,103.8354837
C H Lim Cardiology Clinic,NEWTON,hospital,1.3050616000000002,103.8354395
Surgery Centre For Children: Paediatric Clinic,NEWTON,hospital,1.304662,103.835689
Clinical Neuroscience Services Pte Ltd,NEWTON,hospital,1.305083,103.8353626
Jurong Health,JURONG EAST,hospital,1.3346098999999998,103.7441253
SGH Specialist Clinic at Gleneagles,TANGLIN,hospital,1.3075127,103.8197329
"Infinity Hand, Wrist & Reconstructive Surgery Centre (Mount Alvernia)",TOA PAYOH,hospital,1.3418894,103.8379466
C.W.Lee Clinic for Women and Surgery Pte Ltd,OUTRAM,hospital,1.2856541,103.8440255
Astute Medical Centre,MARINE PARADE,hospital,1.3069216,103.9045661
DR Belter,PASIR RIS,hospital,1.3787206,103.9419626
Fire Post,PASIR RIS,hospital,1.368442,103.957359
Cassia Clinic & Surgery,GEYLANG,hospital,1.3096919,103.8843322
Gian Min Medical Centre,QUEENSTOWN,hospital,1.2938325000000002,103.8025977
Kanlife Asia Pte Ltd,SINGAPORE RIVER,hospital,1.2873139999999998,103.8473998
C K Yong Surgery & Breast Clinic,TOA PAYOH,hospital,1.3419181,103.8375243
Liew Yow Ming Dr,TOA PAYOH,hospital,1.3421217,103.8377029
DR Consultancy Services Pte Ltd,DOWNTOWN CORE,hospital,1.2848757,103.8520896
KKH Department of Child Development (DCD),KALLANG,hospital,1.3106633,103.8468054
Mayfair Medical Clinic,WOODLANDS,hospital,1.4350614,103.775972
"The Hearing Specialist, Mount Alvernia",TOA PAYOH,hospital,1.3419083,103.8379548
Pediatrician Neurologist,NOVENA,hospital,1.3252401000000005,103.8417397
bioDYNE Labs (Singapore) Pte. Ltd.,DOWNTOWN CORE,hospital,1.282026,103.851909
Alvernia Parentcraft Centre,TOA PAYOH,hospital,1.3419083,103.8379548
Toyu Medical Centre,JURONG EAST,hospital,1.344919,103.730762
Ang Sing Jim Roy,YISHUN,hospital,1.4167918,103.8345779
TAKYAH NAK KEPOHHHH,BOON LAY,hospital,1.3172125,103.7166295
Guatemala,QUEENSTOWN,hospital,1.2978572,103.7883913
St Luke Eldercare Sengkang,SENGKANG,hospital,1.3891201000000002,103.9074884
NUH Child Development Unit @ Jurong Medical Centre (CDU@JMC),JURONG WEST,hospital,1.3404456,103.704392
Sembawang Air Base Medical Centre,MANDAI,hospital,1.4187104,103.8169136
Loo Leong Sie Medical Hall,TOA PAYOH,hospital,1.337029,103.886432
Singapore Medical Specialists Centre,ORCHARD,hospital,1.303908,103.835574
CGO Site,CHANGI,hospital,1.3464136999999998,103.9730188
St Luke's Hospital,BUKIT BATOK,health,1.3493911,103.7420877
Dr Lynette Ngo - Breast Oncologist Singapore,ROCHOR,hospital,1.3127619,103.8545562
prestige radiology & diagnostic center pte ltd,DOWNTOWN CORE,hospital,1.2840439,103.8507312
Advance Renal Care Centre,ORCHARD,hospital,1.3060711,103.831724
Singapore Christian Church,PUNGGOL,hospital,1.4007127,103.9098655
Farrer Park Medical Centre,ROCHOR,hospital,1.3127619,103.8545562
Raffles Japanese Clinic,ORCHARD,hospital,1.3066394,103.8312554
Myat Saydanar Medical Center,DOWNTOWN CORE,hospital,1.2923407,103.8508826
Asian American Liver Centre,TANGLIN,health,1.307408,103.820047
Sata Commhealth Community Hub,SENGKANG,hospital,1.3926040000000002,103.873258
Bukit Panjang Camp Medical Centre,BUKIT BATOK,hospital,1.370549,103.7616118
ccapc,BEDOK,hospital,1.3174166,103.9054893
Ogl Medical Pte. Ltd.,KALLANG,hospital,1.3164425,103.8580428
Thomson Medical Centre Balestier Warehouse Building,NOVENA,hospital,1.3264993,103.8519853
"Child Guidance Clinic, Institute of Mental Health",HOUGANG,hospital,1.3823865,103.8840904
Blue Cross Thong Kheng Home,JURONG EAST,hospital,1.3496246,103.7289421
Da Costa J L,ORCHARD,hospital,1.30147,103.83742
citizen,BEDOK,hospital,1.3135008,103.9084547
AcuHealth TCM Medical Centre,TAMPINES,hospital,1.3598358999999998,103.9535112
Dom,PASIR RIS,hospital,1.3748363,103.9503183
NUCOH clinic,CLEMENTI,hospital,1.3094324,103.7697162
Balkis bte Akbar Ali,BEDOK,hospital,1.3336823999999998,103.9152562
TANGS CLINICAL CENTRE TCM,DOWNTOWN CORE,hospital,1.2981502,103.8555656
Joyhealth Medical Clinic & Surgery,TAMPINES,hospital,1.3495527,103.9326127
Canterbury Family Clinic & Surgery,CLEMENTI,hospital,1.313511,103.766986
Saint luke,BUKIT BATOK,hospital,1.3471793,103.7412944
NFK Amk,ANG MO KIO,hospital,1.3693596,103.8580231
Neecare Medical Centre,BUKIT BATOK,hospital,1.3596429,103.7507158
Critical Care Centre,WOODLANDS,hospital,1.4396057,103.8006882
Johns Hopkins Singapore,NOVENA,hospital,1.3212333,103.84590190000002
Q & M Mutual Healthcare Medical Clinic,PUNGGOL,hospital,1.4055096000000002,103.9025416
Horizon Medical Centre,BISHAN,hospital,1.3516615,103.8360262
Eye Clinic,ANG MO KIO,hospital,1.3722747,103.8479773
Apollo Medical Centre Pte. Ltd.,ROCHOR,hospital,1.3079344,103.851763
singapore medical centre,ORCHARD,hospital,1.3063036,103.8269898
Tai Chong Fatt Medical Hall,TAMPINES,hospital,1.3392540000000002,103.941341
ECC/NDCC,OUTRAM,hospital,1.2837595,103.8428391
SMG Specialist Centre @ Paragon,ORCHARD,hospital,1.3045156999999998,103.835955
My Family Clinc,PUNGGOL,hospital,1.4084215,103.8987714
Clinic,CHOA CHU KANG,hospital,1.379906,103.7482762
Schmidt BioMedTech (S) Pte Ltd,BUKIT MERAH,hospital,1.285246,103.8115735
Ruby Medical Centre Pte. Ltd.,TAMPINES,hospital,1.3554003,103.9451369
Chua Medical Clinic and Surgery,BUKIT BATOK,hospital,1.34868,103.7514575
Time Traditional Chinese Medical Acupuncture Centre,SERANGOON,hospital,1.3567531000000002,103.8736176
Treanne,HOUGANG,hospital,1.3671625,103.883308
Healthwerkz Medical Centre,CHOA CHU KANG,hospital,1.3809513,103.7451253
ReinHealth Pte Ltd (Health Screening),ORCHARD,hospital,1.306144,103.827932
Sp Clinic,BUKIT PANJANG,hospital,1.377329,103.7679069
FGPC.Thanikan Vilai,PIONEER,hospital,1.320493,103.6702789
Forum Medical Clinic,ORCHARD,hospital,1.306069,103.8286
TTSH Community Charity Fund (Donation & Fund-Raising) - Tan Tock Seng Hospital,NOVENA,hospital,1.3210356,103.8457124
Apex Medical Centre Pte Ltd,JURONG WEST,hospital,1.3413620000000002,103.6914075
Moby Dick Island,SENGKANG,hospital,1.3849079,103.8994316
The Respiratory Practice,TANGLIN,hospital,1.3069794,103.8201235
Crescent Road,GEYLANG,hospital,1.3134818,103.8995063
"National University Centre for Organ Transplantation (NUCOT), National University Hospital",QUEENSTOWN,hospital,1.2947339,103.7828516
United PCN,KALLANG,hospital,1.3196178,103.865015
Woodlands Health Campus,DOWNTOWN CORE,hospital,1.2798207,103.8458581
St Andrew's Mission Hospital (Former),DOWNTOWN CORE,hospital,1.28052,103.845203
Surrey Technologies,GEYLANG,hospital,1.3203819,103.8979829
Medic Network Llp,HOUGANG,hospital,1.372613,103.8846381
Mount E Novene speciality clinic,SENGKANG,hospital,1.3951088,103.862167
Asian American Radiation & Oncology,TANGLIN,hospital,1.3075913,103.8199212
Integrated Care Hub,NOVENA,hospital,1.3232409,103.8467308
G I F T Medical Centre,TOA PAYOH,hospital,1.3331428,103.8787445
Servis Speda motor,SERANGOON,hospital,1.3451787,103.8703279
The Military Medicine Institute,QUEENSTOWN,hospital,1.2962437,103.7813757
InSync Medical ( East @ Katong ),MARINE PARADE,hospital,1.3049899,103.9040018
Tan Tock Seng Hospital Physiotherapy,NOVENA,hospital,1.3213087,103.8461855
King George's medical clinic,KALLANG,hospital,1.3080621,103.8606415
Health Centre,DOWNTOWN CORE,hospital,1.2960419,103.8592395
Raffles Medical - Airport Terminal 3,CHANGI,hospital,1.3542118,103.9852135
Scotts Medical Center,ORCHARD,hospital,1.3064921,103.8321486
KCS Medical Centre Pte Ltd,BEDOK,hospital,1.3320873,103.9299429
Heah Endoscopy and Piles Centre (Bukit Batok),BUKIT BATOK,hospital,1.3486764999999998,103.75177940000002
Healthway medical,KALLANG,hospital,1.3153658,103.8645117
Helix Aesthetics and Medical Clinic,DOWNTOWN CORE,hospital,1.278027,103.8479839
DERMATOLOGY & SURGERY CLINIC (ORCHARD) PTE LTD,ORCHARD,hospital,1.3039054,103.8355763
Anne Hagarty,ORCHARD,hospital,1.3043527,103.8357234
"Singapore Heart, Stroke & Cancer Centre",ORCHARD,hospital,1.303908,103.835574
Novena Psychiatry Clinic,NOVENA,hospital,1.3199572,103.8439076
The NeuroSpine and Pain Center Singapore,NEWTON,hospital,1.3053,103.835303
Asia Healthpartners,ORCHARD,hospital,1.3044041000000002,103.8343171
Dr. Irene Teo Children's Clinic,BUKIT MERAH,hospital,1.286272,103.8289528
East Coast,MARINE PARADE,hospital,1.3108594999999998,103.9042859
Allwares Pte Ltd,BUKIT BATOK,hospital,1.3568178,103.7617049
Centramed International Pte Ltd,HOUGANG,hospital,1.3728871,103.8860348
PIONEER MEDICAL CENTRE,JURONG WEST,hospital,1.337293,103.6967791
"Block 4, Institute of Mental Health",HOUGANG,hospital,1.3829482,103.8835673
Nee Soon Medical Centre,YISHUN,hospital,1.409928,103.815346
MHC Men's Health Clinic,DOWNTOWN CORE,hospital,1.2749455,103.8434094
NUH Kids Specialist Centre,QUEENSTOWN,hospital,1.293434,103.7830869
Kallang Polyclinic,KALLANG,hospital,1.3163777,103.8587973
Reste Medical Clinic,BUKIT TIMAH,hospital,1.343252,103.776182
Fong Ks Pte. Ltd.,TANGLIN,hospital,1.3076528,103.8198871
???? ????,DOWNTOWN CORE,hospital,1.290989,103.857422
Minh Kang Medicare Services Pte Ltd,GEYLANG,hospital,1.3144296999999998,103.8913011
Kwan Im Thong Hood Cho Temple-NKF Dialysis Centre,KALLANG,hospital,1.3211515,103.8657852
National Kidney Foundation,WOODLANDS,hospital,1.4387231000000005,103.7892495
Yeo Seem Huat Psychiatric Clinic,ORCHARD,hospital,1.3040089,103.8356082
Mount alizabet,NEWTON,hospital,1.3057624,103.8359698
Inez Psychological Well-Being Clinic,BUKIT TIMAH,hospital,1.3298343,103.7994841
ParkwayHealth,SINGAPORE RIVER,hospital,1.292614,103.843285
VHL site,OUTRAM,hospital,1.2819722,103.8378626
Kiddies Clinic Pte Ltd,ORCHARD,hospital,1.3044832,103.8361703
TTSH CCU,NOVENA,hospital,1.3212298999999998,103.8461637
Besli Roma Byd Restaurant,TOA PAYOH,hospital,1.3402903,103.8474509
New Changi Extension Hosp,TAMPINES,hospital,1.3391935,103.9493312
ZHI QI CHINESE PHYSICIAN & ACUPUNCTURE,YISHUN,hospital,1.4342159,103.8389919
RadLink,QUEENSTOWN,hospital,1.2897169,103.779865
Institute of Mental Health,HOUGANG,hospital,1.3793342,103.8826989
Tan Tock Seng Hospital Annex 1,NOVENA,hospital,1.3225093,103.846493
Parkway Cancer Centre Singapore - Mount Elizabeth Hospital,NEWTON,hospital,1.304856,103.835402
HPV,CLEMENTI,hospital,1.3138283000000002,103.7593183
WHC Site Office,WOODLANDS,hospital,1.4274553,103.7976688
KCS Medical Group,BEDOK,hospital,1.3368124,103.9253785
Precious Medical Centre,NEWTON,hospital,1.3045279,103.8364903
SKN MediAesthetics (Parkway Parade),MARINE PARADE,hospital,1.3013718,103.905449
G P Medical Centre & Surgery,ROCHOR,hospital,1.3007534,103.8495316
Fresenius Medical Care Bedok Reservoir Dialysis Center,BEDOK,hospital,1.3377536,103.9213856
Paragon Medical drop off point,ORCHARD,hospital,1.3043055,103.8356983
Health Centre NTU,WESTERN WATER CATCHMENT,hospital,1.3454276,103.6826525
Bridge Bariatrics,NEWTON,hospital,1.3045739,103.835553
Bs Ooi Colorectal Surgery Pte Ltd,NEWTON,hospital,1.3045739,103.835553
Ascend Medical Pte Ltd,NEWTON,hospital,1.3045739,103.835553
Chua Tju Siang Pte Ltd,NEWTON,hospital,1.3045739,103.835553
Dolly Wee Clinic & Surgery For Women,NEWTON,hospital,1.3045739,103.835553
"SNEC Retina Centre, DMC",BUKIT MERAH,hospital,1.2807292,103.8366871
Body talk clinic,TANGLIN,hospital,1.322747,103.814417
"Dr Stephen Chew Centre for Kidney Disease & Hypertension, Mt Alvernia Hospital",TOA PAYOH,hospital,1.3418961,103.8386475
Raffles Medical T4,CHANGI,hospital,1.338943,103.9838195
Parkway Health Singapore (Patient Assistance Centre),SINGAPORE RIVER,hospital,1.2929332,103.8429565
??????? ???????? ???????,QUEENSTOWN,hospital,1.2936727,103.7845693
Dr Anselm Lee Chi-Wai,NEWTON,hospital,1.3055915,103.8354837
Syndrome hospital,DOWNTOWN CORE,hospital,1.2991589,103.8589325
Cross Street Medical Clinic,OUTRAM,hospital,1.2845751,103.8452941
HC Endoscopy & Piles Centre (GM),QUEENSTOWN,hospital,1.3101569,103.7889714
PUDO A04,ORCHARD,hospital,1.3045335,103.835788
SKH Ambulance Bay,SENGKANG,hospital,1.3955116,103.8940375
Herbal Care Homeopathic Clinic,ROCHOR,hospital,1.3058714,103.8515488
Raffles Specialists,ORCHARD,hospital,1.3066207,103.8314263
Advanced Centre for Reproductive Medicine,TANGLIN,hospital,1.307945,103.819453
Lifescan Medical Centre (Novena) by SMG,NOVENA,hospital,1.3206513,103.8443689
Singapore Oncology Consultants At Farrer Park,ROCHOR,hospital,1.312419,103.8543424
Farrer Park Specialist Centre,ROCHOR,hospital,1.312419,103.8543424
Digestive & Liver Surgery (Gleneagles),TANGLIN,hospital,1.3076528,103.8198871
B?nh vi?n Kk,DOWNTOWN CORE,hospital,1.2895301,103.8632483
Civil Defence Academy Complex Medical Centre,WESTERN WATER CATCHMENT,hospital,1.3656911,103.6902882
Tan Tock Seng Hospital Basement Carpark,NOVENA,hospital,1.321683,103.8465247
Ang Mo Kio Polyclinic,ANG MO KIO,hospital,1.3743062,103.8456004
Mediway Medical Centre,ROCHOR,hospital,1.301357,103.849338
The Iron Suites Medical Centre,DOWNTOWN CORE,hospital,1.2780372,103.8479565
StarMed Specialist Centre,ROCHOR,hospital,1.3121593,103.8545103
Emergency Medical Ambulance Services Pte. Ltd.,SERANGOON,hospital,1.371882,103.8614196
Tcm,BUKIT MERAH,hospital,1.2865288,103.8082278
Sungei Gedong Medical Center,WESTERN WATER CATCHMENT,hospital,1.4196133,103.6972398
Healthsprings Medical & Laser Clinic (Potong Pasir),TOA PAYOH,hospital,1.3346518,103.871201
NUH,QUEENSTOWN,hospital,1.2948113,103.7787342
Triple-Harmony TCM Medical Centre,OUTRAM,hospital,1.2854337,103.8436813
Elephant Plaza,DOWNTOWN CORE,hospital,1.299809,103.85964090000002
